timestamp,city,temperature,description
2026-03-17T14:37:06.801Z,Tokyo,10.64,broken clouds
2026-05-12T10:33:33.515Z,Ankara,23.51,overcast clouds
2026-05-12T10:56:19.913Z,Ankara,23.01,overcast clouds
2026-05-12T11:36:03.150Z,undefined,23.4,overcast clouds
2026-05-12T11:49:21.643Z,undefined,23.4,overcast clouds
2026-05-12T12:13:14.834Z,undefined,23.89,overcast clouds
2026-05-12T14:35:25.402Z,undefined,23.4,scattered clouds
2026-05-12T18:03:58.581Z,undefined,17.35,broken clouds
2026-05-12T21:23:14.980Z,undefined,15.11,scattered clouds
2026-05-12T23:06:10.763Z,undefined,14.01,scattered clouds
2026-05-13T03:50:31.010Z,undefined,13.45,scattered clouds
2026-05-13T06:51:23.345Z,undefined,19,few clouds
2026-05-13T10:34:26.082Z,undefined,20.47,scattered clouds
2026-05-13T14:45:31.647Z,undefined,22.9,broken clouds
2026-05-13T18:05:14.346Z,undefined,16.8,broken clouds
2026-05-13T21:28:11.594Z,undefined,16,scattered clouds
2026-05-13T23:08:25.396Z,undefined,12.91,broken clouds
2026-05-14T03:50:12.158Z,undefined,13.95,broken clouds
2026-05-14T06:48:58.207Z,undefined,19.24,few clouds
2026-05-14T10:24:19.289Z,undefined,22.95,scattered clouds
2026-05-14T14:25:39.485Z,undefined,15,moderate rain
2026-05-14T17:57:53.509Z,undefined,12.72,overcast clouds
2026-05-14T19:57:44.091Z,undefined,12.23,overcast clouds
2026-05-14T21:18:01.346Z,undefined,12.23,overcast clouds
2026-05-14T23:01:03.224Z,undefined,10.62,light rain
2026-05-15T03:53:41.348Z,undefined,10.06,overcast clouds
2026-05-15T07:28:04.833Z,undefined,11.41,overcast clouds
2026-05-15T10:29:44.060Z,undefined,14.8,overcast clouds
2026-05-15T14:23:29.256Z,undefined,16.84,scattered clouds
2026-05-15T17:44:25.814Z,undefined,14.45,broken clouds
2026-05-15T19:45:03.213Z,undefined,12.66,overcast clouds
2026-05-15T21:08:54.504Z,undefined,11,overcast clouds
2026-05-15T22:59:31.963Z,undefined,7.36,overcast clouds
2026-05-16T03:35:33.954Z,undefined,8.45,clear sky
